2025-05-27 03:02:29 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:02:29 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:02:29 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:02:29 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:02:29 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:02:29 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:02:29 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:02:29 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:02:29 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:02:38 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:02:38 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:02:38 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:02:38 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:02:38 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:02:39 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:02:39 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:02:39 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:02:40 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:02:40 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:02:41 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:02:41 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:02:41 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
